,MONTH,DAY_OF_WEEK,FL_DATE,UNIQUE_CARRIER,TAIL_NUM,MFR,MODEL,DEP_TIME,DEP_TIME_BLK,ARR_TIME,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ROUTE,FL_NUM,ORIGIN_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
0,7,1,2012-07-02,B6,779JB,AIRBUS                        ,A320-232            ,2051.0,2100-2159,508.0,,,,,,14771 12478,648B6,14771,2100,-9.0,522,-14.0,0.0,0,0,322,317.0,298.0,2586
1,2,4,2014-02-20,UA,502UA,BOEING                        ,757-222             ,1128.0,1000-1059,2023.0,5.0,0.0,23.0,0.0,37.0,14771 12478,760UA,14771,1046,42.0,1918,65.0,65.0,0,0,332,355.0,323.0,2586
2,2,3,2014-02-05,DL,624AG,BOEING                        ,757-2Q8             ,2118.0,2100-2159,502.0,,,,,,14771 12478,2240DL,14771,2115,3.0,531,-29.0,0.0,0,0,316,284.0,265.0,2586
3,6,7,2012-06-24,UA,517UA,BOEING                        ,757-222             ,1609.0,1600-1659,18.0,,,,,,14771 12478,314UA,14771,1611,-2.0,40,-22.0,0.0,0,0,329,309.0,285.0,2586
4,7,3,2014-07-30,VX,623VA,AIRBUS                        ,A320-214            ,926.0,0900-0959,1803.0,,,,,,14771 12478,22VX,14771,910,16.0,1759,4.0,4.0,0,0,349,337.0,305.0,2586
5,10,4,2013-10-24,DL,624AG,BOEING                        ,757-2Q8             ,754.0,0800-0859,1616.0,,,,,,14771 12478,140DL,14771,800,-6.0,1631,-15.0,0.0,0,0,331,322.0,297.0,2586
6,7,4,2012-07-05,VX,642VA,AIRBUS                        ,A320-214            ,921.0,0900-0959,1805.0,,,,,,14771 12478,22VX,14771,915,6.0,1755,10.0,10.0,0,0,340,344.0,321.0,2586
7,6,4,2013-06-13,UA,505UA,BOEING                        ,757-222             ,651.0,0700-0759,1532.0,,,,,,14771 12478,286UA,14771,700,-9.0,1539,-7.0,0.0,0,0,339,341.0,298.0,2586
8,4,6,2014-04-05,DL,624AG,BOEING                        ,757-2Q8             ,841.0,0800-0859,1650.0,,,,,,14771 12478,414DL,14771,845,-4.0,1706,-16.0,0.0,0,0,321,309.0,289.0,2586
9,7,3,2014-07-23,UA,568UA,BOEING                        ,757-222             ,2224.0,2200-2259,637.0,,,,,,14771 12478,824UA,14771,2224,0.0,659,-22.0,0.0,0,0,335,313.0,287.0,2586
10,9,3,2014-09-17,UA,589UA,BOEING                        ,757-222             ,649.0,0600-0659,1513.0,,,,,,14771 12478,758UA,14771,655,-6.0,1537,-24.0,0.0,0,0,342,324.0,290.0,2586
11,2,4,2014-02-27,UA,587UA,BOEING                        ,757-222             ,2232.0,2200-2259,633.0,,,,,,14771 12478,824UA,14771,2232,0.0,700,-27.0,0.0,0,0,328,301.0,274.0,2586
12,11,6,2011-11-05,B6,621JB,AIRBUS                        ,A320-232            ,1103.0,1000-1059,1932.0,,,,,,14771 12478,644B6,14771,1055,8.0,1918,14.0,14.0,0,0,323,329.0,306.0,2586
13,9,2,2014-09-23,UA,588UA,BOEING                        ,757-222             ,1513.0,1500-1559,2341.0,,,,,,14771 12478,304UA,14771,1515,-2.0,2353,-12.0,0.0,0,0,338,328.0,301.0,2586
14,2,3,2014-02-05,VX,632VA,AIRBUS                        ,A320-214            ,1510.0,1500-1559,2323.0,,,,,,14771 12478,26VX,14771,1505,5.0,2330,-7.0,0.0,0,0,325,313.0,290.0,2586
15,10,4,2012-10-18,DL,727TW,BOEING                        ,757-231             ,2315.0,2300-2359,757.0,,,,,,14771 12478,2340DL,14771,2315,0.0,746,11.0,11.0,0,0,331,342.0,306.0,2586
16,9,4,2014-09-18,AA,795AA,BEECH                         ,35-33               ,1527.0,1500-1559,2345.0,,,,,,14771 12478,20AA,14771,1500,27.0,2335,10.0,10.0,0,0,335,318.0,298.0,2586
17,2,2,2013-02-26,DL,705TW,BOEING                        ,757-231             ,2113.0,2100-2159,559.0,,,,,,14771 12478,2240DL,14771,2120,-7.0,545,14.0,14.0,0,0,325,346.0,298.0,2586
18,8,7,2013-08-11,AA,319AA,BOEING                        ,767-223             ,1456.0,1500-1559,2322.0,,,,,,14771 12478,20AA,14771,1500,-4.0,2330,-8.0,0.0,0,0,330,326.0,299.0,2586
19,8,1,2014-08-18,UA,510UA,BOEING                        ,757-222             ,1241.0,1200-1259,2117.0,,,,,,14771 12478,637UA,14771,1245,-4.0,2134,-17.0,0.0,0,0,349,336.0,312.0,2586
20,4,7,2014-04-27,DL,702TW,BOEING                        ,757-2Q8             ,1044.0,1000-1059,2023.0,0.0,0.0,68.0,0.0,0.0,14771 12478,468DL,14771,1045,-1.0,1915,68.0,68.0,0,0,330,399.0,313.0,2586
21,10,2,2013-10-01,B6,529JB,AIRBUS INDUSTRIE              ,A320-232            ,1153.0,1100-1159,1956.0,,,,,,14771 12478,416B6,14771,1154,-1.0,2025,-29.0,0.0,0,0,331,303.0,279.0,2586
22,10,4,2013-10-03,UA,590UA,BOEING                        ,757-222             ,700.0,0700-0759,1535.0,,,,,,14771 12478,286UA,14771,700,0.0,1539,-4.0,0.0,0,0,339,335.0,310.0,2586
23,2,5,2014-02-21,AA,355AA,BOEING                        ,767-323             ,709.0,0700-0759,1919.0,,,,,,14771 12478,24AA,14771,705,4.0,1540,,,0,1,335,,,2586
24,12,6,2012-12-29,AA,332AA,BOEING                        ,767-223             ,1241.0,1200-1259,2051.0,,,,,,14771 12478,16AA,14771,1240,1.0,2105,-14.0,0.0,0,0,325,310.0,286.0,2586
25,12,2,2012-12-18,AA,323AA,BOEING                        ,767-223             ,1517.0,1500-1559,2305.0,,,,,,14771 12478,20AA,14771,1510,7.0,2330,-25.0,0.0,0,0,320,288.0,268.0,2586
26,3,4,2013-03-14,AA,319AA,BOEING                        ,767-223             ,1234.0,1200-1259,2102.0,,,,,,14771 12478,16AA,14771,1240,-6.0,2115,-13.0,0.0,0,0,335,328.0,305.0,2586
27,9,5,2012-09-28,AA,357AA,BOEING                        ,767-323             ,656.0,0700-0759,1549.0,,,,,,14771 12478,24AA,14771,700,-4.0,1545,4.0,4.0,0,0,345,353.0,313.0,2586
28,2,5,2014-02-21,UA,518UA,BOEING                        ,757-222             ,1327.0,1200-1259,2151.0,0.0,0.0,34.0,0.0,0.0,14771 12478,637UA,14771,1245,42.0,2117,34.0,34.0,0,0,332,324.0,286.0,2586
29,7,2,2014-07-29,B6,763JB,AIRBUS                        ,A320-232            ,625.0,0600-0659,1451.0,,,,,,14771 12478,16B6,14771,629,-4.0,1500,-9.0,0.0,0,0,331,326.0,304.0,2586
30,9,6,2013-09-21,AA,372AA,BOEING                        ,767-323             ,1227.0,1200-1259,2048.0,,,,,,14771 12478,16AA,14771,1215,12.0,2100,-12.0,0.0,0,0,345,321.0,299.0,2586
31,5,5,2014-05-23,DL,710TW,BOEING                        ,757-2Q8             ,853.0,0900-0959,1734.0,,,,,,14771 12478,414DL,14771,900,-7.0,1749,-15.0,0.0,0,0,349,341.0,312.0,2586
32,7,4,2012-07-12,UA,555UA,BOEING                        ,757-222             ,1614.0,1600-1659,28.0,,,,,,14771 12478,314UA,14771,1611,3.0,40,-12.0,0.0,0,0,329,314.0,298.0,2586
33,6,2,2012-06-26,UA,508UA,BOEING                        ,757-222             ,1046.0,1000-1059,1911.0,,,,,,14771 12478,760UA,14771,1044,2.0,1927,-16.0,0.0,0,0,343,325.0,293.0,2586
34,5,7,2013-05-19,UA,518UA,BOEING                        ,757-222             ,1043.0,1000-1059,2008.0,0.0,0.0,43.0,0.0,0.0,14771 12478,760UA,14771,1047,-4.0,1925,43.0,43.0,0,0,338,385.0,339.0,2586
35,1,5,2014-01-03,UA,546UA,BOEING                        ,757-222             ,1420.0,1300-1359,2327.0,33.0,0.0,42.0,0.0,0.0,14771 12478,637UA,14771,1347,33.0,2212,75.0,75.0,0,0,325,367.0,283.0,2586
36,10,7,2013-10-13,UA,597UA,BOEING                        ,757-222             ,657.0,0700-0759,1548.0,,,,,,14771 12478,286UA,14771,700,-3.0,1539,9.0,9.0,0,0,339,351.0,310.0,2586
37,6,1,2013-06-03,VX,847VA,AIRBUS                        ,A320-214            ,658.0,0700-0759,1523.0,,,,,,14771 12478,12VX,14771,700,-2.0,1535,-12.0,0.0,0,0,335,325.0,300.0,2586
38,4,4,2014-04-24,B6,828JB,AIRBUS                        ,A320-232            ,1317.0,1200-1259,2141.0,0.0,0.0,36.0,0.0,5.0,14771 12478,416B6,14771,1219,58.0,2100,41.0,41.0,0,0,341,324.0,293.0,2586
39,8,5,2013-08-30,AA,336AA,BOEING                        ,767-223             ,1216.0,1200-1259,2048.0,,,,,,14771 12478,16AA,14771,1215,1.0,2100,-12.0,0.0,0,0,345,332.0,310.0,2586
40,8,5,2013-08-02,DL,705TW,BOEING                        ,757-231             ,753.0,0800-0859,1550.0,,,,,,14771 12478,140DL,14771,800,-7.0,1634,-44.0,0.0,0,0,334,297.0,270.0,2586
41,4,6,2012-04-21,VX,853VA,AIRBUS                        ,A320-214            ,2255.0,2300-2359,733.0,,,,,,14771 12478,34VX,14771,2300,-5.0,735,-2.0,0.0,0,0,335,338.0,302.0,2586
42,3,6,2013-03-09,UA,512UA,BOEING                        ,757-222             ,2311.0,2300-2359,844.0,,,,,,14771 12478,824UA,14771,2315,-4.0,840,4.0,4.0,0,0,325,333.0,311.0,2586
43,5,5,2012-05-11,VX,854VA,AIRBUS                        ,A320-214            ,2254.0,2200-2259,730.0,,,,,,14771 12478,34VX,14771,2255,-1.0,735,-5.0,0.0,0,0,340,336.0,306.0,2586
44,4,5,2013-04-05,UA,505UA,BOEING                        ,757-222             ,1100.0,1000-1059,1912.0,,,,,,14771 12478,760UA,14771,1051,9.0,1925,-13.0,0.0,0,0,334,312.0,293.0,2586
45,4,2,2014-04-15,VX,637VA,AIRBUS                        ,A320-214            ,921.0,0900-0959,1751.0,,,,,,14771 12478,22VX,14771,920,1.0,1759,-8.0,0.0,0,0,339,330.0,305.0,2586
46,10,5,2013-10-25,VX,623VA,AIRBUS                        ,A320-214            ,1420.0,1400-1459,2308.0,,,,,,14771 12478,26VX,14771,1425,-5.0,2300,8.0,8.0,0,0,335,348.0,319.0,2586
47,1,6,2014-01-18,AA,372AA,BOEING                        ,767-323             ,700.0,0700-0759,1531.0,,,,,,14771 12478,24AA,14771,705,-5.0,1540,-9.0,0.0,0,0,335,331.0,311.0,2586
48,5,3,2013-05-08,B6,775JB,AIRBUS                        ,A320-232            ,1431.0,1200-1259,2339.0,0.0,0.0,159.0,0.0,0.0,14771 12478,644B6,14771,1215,136.0,2100,159.0,159.0,0,0,345,368.0,339.0,2586
49,8,3,2013-08-07,AA,379AA,BOEING                        ,767-323             ,656.0,0700-0759,1518.0,,,,,,14771 12478,24AA,14771,705,-9.0,1535,-17.0,0.0,0,0,330,322.0,290.0,2586
50,9,7,2014-09-28,VX,641VA,AIRBUS                        ,A320-214            ,909.0,0900-0959,1817.0,0.0,23.0,0.0,0.0,0.0,14771 12478,22VX,14771,910,-1.0,1754,23.0,23.0,0,0,344,368.0,338.0,2586
51,11,4,2013-11-21,VX,626VA,AIRBUS                        ,A320-214            ,1426.0,1400-1459,2241.0,,,,,,14771 12478,26VX,14771,1430,-4.0,2305,-24.0,0.0,0,0,335,315.0,290.0,2586
52,1,1,2012-01-02,DL,707TW,BOEING                        ,757-2Q8             ,1526.0,1500-1559,2358.0,,,,,,14771 12478,2040DL,14771,1530,-4.0,2353,5.0,5.0,0,0,323,332.0,301.0,2586
53,3,5,2014-03-28,B6,809JB,AIRBUS                        ,A320-232            ,1210.0,1200-1259,2028.0,,,,,,14771 12478,416B6,14771,1206,4.0,2035,-7.0,0.0,0,0,329,318.0,298.0,2586
54,7,4,2013-07-04,DL,624AG,BOEING                        ,757-2Q8             ,627.0,0600-0659,1504.0,,,,,,14771 12478,1859DL,14771,630,-3.0,1501,3.0,3.0,0,0,331,337.0,310.0,2586
55,6,6,2013-06-22,DL,194DN,BOEING                        ,767-332             ,2108.0,2100-2159,602.0,0.0,0.0,28.0,0.0,0.0,14771 12478,2240DL,14771,2115,-7.0,534,28.0,28.0,0,0,319,354.0,323.0,2586
56,6,5,2013-06-28,DL,723TW,BOEING                        ,757-231             ,1552.0,1600-1659,21.0,,,,,,14771 12478,2040DL,14771,1600,-8.0,30,-9.0,0.0,0,0,330,329.0,295.0,2586
57,5,6,2012-05-12,AA,336AA,BOEING                        ,767-223             ,1309.0,1200-1259,2123.0,,,,,,14771 12478,16AA,14771,1245,24.0,2135,-12.0,0.0,0,0,350,314.0,295.0,2586
58,9,5,2014-09-19,AA,796AA,PIPER                         ,PA-23-250           ,2226.0,2200-2259,717.0,0.0,0.0,17.0,0.0,0.0,14771 12478,18AA,14771,2225,1.0,700,17.0,17.0,0,0,335,351.0,312.0,2586
59,7,4,2012-07-26,AA,321AA,BOEING                        ,767-223             ,239.0,2200-2259,1050.0,0.0,0.0,1.0,0.0,214.0,14771 12478,18AA,14771,2245,234.0,715,215.0,215.0,0,0,330,311.0,285.0,2586
60,2,1,2012-02-06,AA,362AA,BOEING                        ,767-323             ,654.0,0700-0759,1532.0,,,,,,14771 12478,24AA,14771,700,-6.0,1530,2.0,2.0,0,0,330,338.0,314.0,2586
61,3,7,2013-03-10,AA,328AA,BOEING                        ,767-223             ,2247.0,2200-2259,732.0,7.0,0.0,25.0,0.0,0.0,14771 12478,18AA,14771,2240,7.0,700,32.0,32.0,0,0,320,345.0,320.0,2586
62,2,6,2013-02-23,VX,849VA,AIRBUS                        ,A320-214            ,923.0,0900-0959,1800.0,,,,,,14771 12478,22VX,14771,925,-2.0,1759,1.0,1.0,0,0,334,337.0,313.0,2586
63,7,3,2013-07-31,VX,640VA,AIRBUS                        ,A320-214            ,1548.0,1400-1459,2355.0,0.0,0.0,1.0,0.0,49.0,14771 12478,26VX,14771,1430,78.0,2305,50.0,50.0,0,0,335,307.0,288.0,2586
64,10,2,2012-10-16,B6,524JB,AIRBUS INDUSTRIE              ,A320-232            ,1048.0,1000-1059,1905.0,,,,,,14771 12478,644B6,14771,1045,3.0,1925,-20.0,0.0,0,0,340,317.0,292.0,2586
65,12,5,2012-12-21,VX,637VA,AIRBUS                        ,A320-214            ,51.0,2100-2159,854.0,0.0,0.0,11.0,0.0,164.0,14771 12478,30VX,14771,2125,206.0,559,175.0,175.0,0,0,334,303.0,279.0,2586
66,12,6,2012-12-08,VX,853VA,AIRBUS                        ,A320-214            ,916.0,0900-0959,1726.0,,,,,,14771 12478,22VX,14771,915,1.0,1755,-29.0,0.0,0,0,340,310.0,291.0,2586
67,9,7,2014-09-14,DL,711ZX,BOEING                        ,757-231             ,1625.0,1600-1659,23.0,,,,,,14771 12478,2040DL,14771,1600,25.0,42,-19.0,0.0,0,0,342,298.0,274.0,2586
68,10,1,2012-10-01,AA,319AA,BOEING                        ,767-223             ,2252.0,2200-2259,724.0,,,,,,14771 12478,18AA,14771,2230,22.0,710,14.0,14.0,0,0,340,332.0,303.0,2586
69,11,6,2013-11-30,VX,624VA,AIRBUS                        ,A320-214            ,1430.0,1400-1459,2252.0,,,,,,14771 12478,26VX,14771,1430,0.0,2300,-8.0,0.0,0,0,330,322.0,294.0,2586
70,1,1,2013-01-14,VX,842VA,AIRBUS                        ,A320-214            ,1526.0,1500-1559,2339.0,,,,,,14771 12478,26VX,14771,1510,16.0,2340,-1.0,0.0,0,0,330,313.0,294.0,2586
71,11,6,2012-11-03,DL,705TW,BOEING                        ,757-231             ,1114.0,1100-1159,1944.0,,,,,,14771 12478,2382DL,14771,1120,-6.0,2002,-18.0,0.0,0,0,342,330.0,299.0,2586
72,4,4,2012-04-19,DL,703TW,BOEING                        ,757-2Q8             ,2228.0,2200-2259,658.0,,,,,,14771 12478,2340DL,14771,2230,-2.0,700,-2.0,0.0,0,0,330,330.0,302.0,2586
73,9,3,2013-09-04,VX,855VA,AIRBUS                        ,A320-214            ,657.0,0700-0759,1526.0,,,,,,14771 12478,12VX,14771,700,-3.0,1535,-9.0,0.0,0,0,335,329.0,300.0,2586
74,6,6,2013-06-29,UA,555UA,BOEING                        ,757-222             ,1054.0,1000-1059,1929.0,,,,,,14771 12478,760UA,14771,1045,9.0,1923,6.0,6.0,0,0,338,335.0,312.0,2586
75,6,5,2013-06-21,UA,555UA,BOEING                        ,757-222             ,1305.0,1300-1359,2200.0,0.0,0.0,15.0,0.0,0.0,14771 12478,637UA,14771,1310,-5.0,2145,15.0,15.0,0,0,335,355.0,313.0,2586
76,6,4,2013-06-20,UA,557UA,BOEING                        ,757-222             ,1641.0,1400-1459,116.0,106.0,0.0,0.0,0.0,0.0,14771 12478,304UA,14771,1449,112.0,2330,106.0,106.0,0,0,341,335.0,299.0,2586
77,12,1,2011-12-05,UA,502UA,BOEING                        ,757-222             ,2229.0,2200-2259,722.0,0.0,0.0,23.0,0.0,0.0,14771 12478,824UA,14771,2230,-1.0,659,23.0,23.0,0,0,329,353.0,325.0,2586
78,8,1,2012-08-27,DL,665DN,BOEING                        ,757-232             ,2309.0,2300-2359,741.0,,,,,,14771 12478,2340DL,14771,2315,-6.0,739,2.0,2.0,0,0,324,332.0,294.0,2586
79,6,1,2013-06-03,AA,319AA,BOEING                        ,767-223             ,1421.0,1400-1459,2234.0,,,,,,14771 12478,20AA,14771,1400,21.0,2250,-16.0,0.0,0,0,350,313.0,292.0,2586
80,5,7,2014-05-04,UA,595UA,BOEING                        ,757-222             ,2218.0,2200-2259,617.0,,,,,,14771 12478,824UA,14771,2220,-2.0,655,-38.0,0.0,0,0,335,299.0,281.0,2586
81,8,6,2014-08-16,VX,636VA,AIRBUS                        ,A320-214            ,1447.0,1400-1459,2301.0,,,,,,14771 12478,26VX,14771,1450,-3.0,2335,-34.0,0.0,0,0,345,314.0,291.0,2586
82,12,1,2012-12-17,VX,624VA,AIRBUS                        ,A320-214            ,1011.0,0900-0959,1825.0,0.0,0.0,30.0,0.0,0.0,14771 12478,22VX,14771,915,56.0,1755,30.0,30.0,0,0,340,314.0,284.0,2586
83,7,6,2013-07-13,UA,554UA,BOEING                        ,757-222             ,1321.0,1300-1359,2231.0,16.0,0.0,35.0,0.0,0.0,14771 12478,637UA,14771,1305,16.0,2140,51.0,51.0,0,0,335,370.0,325.0,2586
84,4,6,2014-04-26,UA,596UA,BOEING                        ,757-222             ,1345.0,1300-1359,2225.0,,,,,,14771 12478,368UA,14771,1345,0.0,2233,-8.0,0.0,0,0,348,340.0,304.0,2586
85,5,4,2013-05-09,VX,852VA,AIRBUS                        ,A320-214            ,2359.0,2300-2359,823.0,0.0,0.0,0.0,0.0,48.0,14771 12478,34VX,14771,2300,59.0,735,48.0,48.0,0,0,335,324.0,303.0,2586
86,2,2,2012-02-28,VX,525VA,AIRBUS                        ,A319-112            ,1453.0,1400-1459,2310.0,,,,,,14771 12478,26VX,14771,1455,-2.0,2320,-10.0,0.0,0,0,325,317.0,286.0,2586
87,8,1,2014-08-04,DL,711ZX,BOEING                        ,757-231             ,636.0,0600-0659,1522.0,,,,,,14771 12478,418DL,14771,645,-9.0,1526,-4.0,0.0,0,0,341,346.0,304.0,2586
88,11,5,2012-11-09,DL,710TW,BOEING                        ,757-2Q8             ,611.0,0600-0659,1424.0,,,,,,14771 12478,30DL,14771,615,-4.0,1442,-18.0,0.0,0,0,327,313.0,281.0,2586
89,2,2,2012-02-14,DL,718TW,BOEING                        ,757-231             ,624.0,0600-0659,1458.0,,,,,,14771 12478,1210DL,14771,630,-6.0,1458,0.0,0.0,0,0,328,334.0,297.0,2586
90,4,7,2012-04-22,UA,508UA,BOEING                        ,757-222             ,827.0,0800-0859,1705.0,,,,,,14771 12478,808UA,14771,822,5.0,1700,5.0,5.0,0,0,338,338.0,303.0,2586
91,12,5,2013-12-20,DL,727TW,BOEING                        ,757-231             ,1559.0,1600-1659,7.0,,,,,,14771 12478,2040DL,14771,1600,-1.0,17,-10.0,0.0,0,0,317,308.0,285.0,2586
92,7,3,2014-07-02,AA,785AA,BEECH                         ,35-B33              ,652.0,0700-0759,1542.0,,,,,,14771 12478,24AA,14771,700,-8.0,1545,-3.0,0.0,0,0,345,350.0,316.0,2586
93,12,6,2012-12-29,UA,512UA,BOEING                        ,757-222             ,835.0,0800-0859,1703.0,,,,,,14771 12478,808UA,14771,835,0.0,1714,-11.0,0.0,0,0,339,328.0,295.0,2586
94,12,7,2013-12-01,AA,328AA,BOEING                        ,767-223             ,2224.0,2200-2259,658.0,,,,,,14771 12478,18AA,14771,2230,-6.0,700,-2.0,0.0,0,0,330,334.0,289.0,2586
95,5,3,2012-05-09,UA,512UA,BOEING                        ,757-222             ,1503.0,1200-1259,2332.0,18.0,0.0,0.0,0.0,104.0,14771 12478,870UA,14771,1243,140.0,2130,122.0,122.0,0,0,347,329.0,302.0,2586
96,4,7,2013-04-14,VX,638VA,AIRBUS                        ,A320-214            ,921.0,0900-0959,1738.0,,,,,,14771 12478,22VX,14771,925,-4.0,1759,-21.0,0.0,0,0,334,317.0,292.0,2586
97,7,3,2012-07-04,DL,721TW,BOEING                        ,757-231             ,1109.0,1100-1159,2016.0,0.0,0.0,17.0,0.0,0.0,14771 12478,1940DL,14771,1115,-6.0,1959,17.0,17.0,0,0,344,367.0,306.0,2586
98,1,5,2012-01-13,UA,508UA,BOEING                        ,757-222             ,852.0,0800-0859,1720.0,,,,,,14771 12478,808UA,14771,856,-4.0,1729,-9.0,0.0,0,0,333,328.0,309.0,2586
99,7,4,2013-07-04,AA,319AA,BOEING                        ,767-223             ,1452.0,1500-1559,2325.0,,,,,,14771 12478,20AA,14771,1500,-8.0,2330,-5.0,0.0,0,0,330,333.0,309.0,2586
100,8,7,2013-08-18,B6,558JB,AIRBUS                        ,A320-232            ,1155.0,1100-1159,2030.0,,,,,,14771 12478,416B6,14771,1153,2.0,2023,7.0,7.0,0,0,330,335.0,311.0,2586
101,7,7,2012-07-08,AA,332AA,BOEING                        ,767-223             ,1450.0,1500-1559,2349.0,0.0,0.0,19.0,0.0,0.0,14771 12478,20AA,14771,1500,-10.0,2330,19.0,19.0,0,0,330,359.0,301.0,2586
102,7,5,2012-07-20,AA,350AA,PIPER                         ,PA-31-350           ,700.0,0700-0759,1601.0,0.0,0.0,21.0,0.0,0.0,14771 12478,24AA,14771,705,-5.0,1540,21.0,21.0,0,0,335,361.0,317.0,2586
103,1,7,2012-01-22,UA,510UA,BOEING                        ,757-222             ,853.0,0800-0859,1727.0,,,,,,14771 12478,808UA,14771,856,-3.0,1729,-2.0,0.0,0,0,333,334.0,305.0,2586
104,3,2,2014-03-25,AA,784AA,BEECH                         ,P35                 ,2224.0,2200-2259,648.0,,,,,,14771 12478,18AA,14771,2230,-6.0,705,-17.0,0.0,0,0,335,324.0,301.0,2586
105,1,5,2014-01-31,AA,350AA,PIPER                         ,PA-31-350           ,1247.0,1200-1259,2039.0,,,,,,14771 12478,16AA,14771,1250,-3.0,2120,-41.0,0.0,0,0,330,292.0,260.0,2586
106,5,2,2014-05-27,AA,374AA,BOEING                        ,767-323             ,655.0,0700-0759,1541.0,,,,,,14771 12478,24AA,14771,700,-5.0,1545,-4.0,0.0,0,0,345,346.0,316.0,2586
107,11,5,2012-11-02,DL,727TW,BOEING                        ,757-231             ,1117.0,1100-1159,1945.0,,,,,,14771 12478,2382DL,14771,1120,-3.0,2002,-17.0,0.0,0,0,342,328.0,288.0,2586
108,3,4,2014-03-27,B6,834JB,AIRBUS                        ,A320-232            ,2115.0,2000-2059,523.0,,,,,,14771 12478,916B6,14771,2047,28.0,510,13.0,13.0,0,0,323,308.0,286.0,2586
109,8,1,2013-08-12,DL,727TW,BOEING                        ,757-231             ,1120.0,1100-1159,1950.0,,,,,,14771 12478,268DL,14771,1120,0.0,2000,-10.0,0.0,0,0,340,330.0,304.0,2586
110,7,2,2012-07-10,B6,587JB,AIRBUS                        ,A320-232            ,1051.0,1000-1059,1923.0,,,,,,14771 12478,644B6,14771,1050,1.0,1927,-4.0,0.0,0,0,337,332.0,305.0,2586
111,2,1,2012-02-20,VX,844VA,AIRBUS                        ,A320-214            ,2258.0,2300-2359,736.0,,,,,,14771 12478,34VX,14771,2305,-7.0,735,1.0,1.0,0,0,330,338.0,310.0,2586
112,10,3,2012-10-03,B6,712JB,AIRBUS                        ,A320-232            ,756.0,0800-0859,1625.0,,,,,,14771 12478,640B6,14771,805,-9.0,1641,-16.0,0.0,0,0,336,329.0,301.0,2586
113,12,1,2011-12-12,AA,374AA,BOEING                        ,767-323             ,700.0,0700-0759,1514.0,,,,,,14771 12478,24AA,14771,700,0.0,1530,-16.0,0.0,0,0,330,314.0,294.0,2586
114,5,3,2013-05-08,UA,502UA,BOEING                        ,757-222             ,1456.0,1400-1459,2343.0,0.0,0.0,24.0,0.0,0.0,14771 12478,304UA,14771,1445,11.0,2319,24.0,24.0,0,0,334,347.0,321.0,2586
115,8,7,2013-08-11,AA,324AA,BOEING                        ,767-223             ,112.0,2200-2259,910.0,0.0,0.0,0.0,0.0,130.0,14771 12478,18AA,14771,2235,157.0,700,130.0,130.0,0,0,325,298.0,279.0,2586
116,8,6,2014-08-23,DL,707TW,BOEING                        ,757-2Q8             ,2128.0,2100-2159,549.0,,,,,,14771 12478,2240DL,14771,2120,8.0,545,4.0,4.0,0,0,325,321.0,299.0,2586
117,12,1,2012-12-24,UA,510UA,BOEING                        ,757-222             ,1045.0,1000-1059,1914.0,,,,,,14771 12478,760UA,14771,1042,3.0,1920,-6.0,0.0,0,0,338,329.0,298.0,2586
118,5,5,2014-05-23,UA,546UA,BOEING                        ,757-222             ,708.0,0700-0759,1606.0,0.0,0.0,16.0,0.0,0.0,14771 12478,286UA,14771,705,3.0,1550,16.0,16.0,0,0,345,358.0,329.0,2586
119,8,5,2014-08-08,UA,598UA,BOEING                        ,757-222             ,1512.0,1500-1559,1.0,,,,,,14771 12478,304UA,14771,1511,1.0,2359,2.0,2.0,0,0,348,349.0,307.0,2586
120,6,1,2012-06-11,AA,358AA,BOEING                        ,767-323             ,1500.0,1500-1559,2326.0,,,,,,14771 12478,20AA,14771,1500,0.0,2330,-4.0,0.0,0,0,330,326.0,292.0,2586
121,11,5,2012-11-16,UA,510UA,BOEING                        ,757-222             ,1632.0,1600-1659,50.0,,,,,,14771 12478,314UA,14771,1611,21.0,43,7.0,7.0,0,0,332,318.0,293.0,2586
122,11,4,2012-11-01,UA,560UA,BOEING                        ,757-222             ,1612.0,1600-1659,31.0,,,,,,14771 12478,477UA,14771,1614,-2.0,40,-9.0,0.0,0,0,326,319.0,294.0,2586
123,12,3,2013-12-25,VX,852VA,AIRBUS                        ,A320-214            ,658.0,0700-0759,1518.0,,,,,,14771 12478,12VX,14771,700,-2.0,1530,-12.0,0.0,0,0,330,320.0,296.0,2586
124,2,1,2013-02-04,AA,323AA,BOEING                        ,767-223             ,2246.0,2200-2259,656.0,,,,,,14771 12478,18AA,14771,2240,6.0,700,-4.0,0.0,0,0,320,310.0,279.0,2586
125,7,5,2014-07-18,AA,793AA,CESSNA                        ,501                 ,1232.0,1200-1259,2125.0,,,,,,14771 12478,16AA,14771,1240,-8.0,2130,-5.0,0.0,0,0,350,353.0,315.0,2586
126,12,6,2012-12-22,VX,849VA,AIRBUS                        ,A320-214            ,2300.0,2300-2359,726.0,,,,,,14771 12478,34VX,14771,2300,0.0,735,-9.0,0.0,0,0,335,326.0,287.0,2586
